Назва продукту,"Всього, уп",Адреса клієнта-одержувача,Область України
"Симбікорт турбух. пор. дл/інг. 80мкг+4,5мкг 60д",1,"Тернопільська обл.. Чортківський р-н., м. Копичинці, вул. Ринок, 21а",Тернопільська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"Тернопільська обл.. Чортківський р-н., м. Копичинці, вул. Ринок, 21а",Тернопільська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"Тернопільська обл., Чортківський р-н, м.Бучач, вул.Галицька, 111а",Тернопільська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"вул.Пчілки Олени, 2-А, літ.А, прим.223.,м.Київ.	Аптека №1",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,5,"м.Київ, вул.Івашкевича Ярослава, №6-8 А, Аптека №5 Калина	",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,12,"02660, вул.Магнітогорська, 1, м.Київ",
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м. Київ, вул. Харченко, 29 ",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,2,"м.Київ пр-т.Бажана,24/1   Аптека №13",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,5,"вул.Петра Курінного, 2, КНП ""ЦПМСД №3"" м.Києва",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,3,"пр-т Леся Курбаса, 2/13, 	м.Київ",
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Чернігівська обл., м.Ічня, площа Т.Г.Шевченка, 3, Аптека №18",Чернігівська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Чернігівська обл., Бобровицький р-н, с.Нова Басань, вул.Поштова, 2-Б	1410.10",Чернігівська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Київська обл., смт Козелець, вул.Соборності, 53",Чернігівська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,20,"08133 м.Вишневе, вул. Балукова,21 Київська обл.Києво-Святош. р-н",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"КФ А-96 Житомирська обл., смт Черняхів, вул.Володимирська, 3",Житомирська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"КФ А-96 Житомирська обл., смт Черняхів, вул.Володимирська, 3",Житомирська
Крестор таб. в/о 10мг №28 (14х2) бліст.,1,"КФ А-113 Житомирська обл., Андрушівський р-н, м. Андрушівка, вул.Зазулінського, 11, прим.3",Житомирська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"КФ А-113 Житомирська обл., Андрушівський р-н, м. Андрушівка, вул.Зазулінського, 11, прим.3",Житомирська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,3,"Київська область, Бучанський район, село Чайки, вул. Лобановського Валерія 30-А, приміщення № 85",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Вінницька обл., Бершадський р-н, с.Бирлівка, вул.Вишнева, 288,  Аптека №1",Вінницька
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,2,"смт Теплик, вул. Незалежності, 31",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"КА-59 смт Тростянець, вул. Соборна, 50-А",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,4,"КА-69 м. Бершадь, вул. Героїв України, 7, прим.22",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м. Немирів, вул. Горького, 96",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"м. Козятин, вул. П.Орлика, 22",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"КФ А-120 смт Корнин, вул.Соборна,30",Житомирська
Ксігдуо Пролонг таб.в/о 10мг/1000мг №28(4х7)бліст.,2,"смт Піщанка, вул. Центральна, 42",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"смт Томашпіль, вул. Кирила Стеценка, 5",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",2,"Ф-29 м. Вінниця, вул. Хмельницьке шосе, 108А",Вінницька
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Ф-108 м. Вінниця, вул. Келецкая, 105",Вінницька
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",1,"Ф-140 смт Стрижавка, вул.Київська, 224, к.4, прим.53Н",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Ф-142 м. Вінниця, вул. Келецкая, 122а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-7 м.Вінниця, вул.Пирогова, 46",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,15,"Ф-50 м. Вінниця, вул. Пирогова, 52а",Вінницька
Беталок Зок таб. в/о 50мг №30,1,"Ф-9 м. Вінниця, вул. Князів Коріатовичів, 184",Вінницька
Беталок Зок таб. в/о 50мг №30,1,"Ф-105 м. Вінниця, вул. Пирогова, 46а",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Ф-26 м. Вінниця, вул. Зодчих, 16",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"Ф-91, м. Вінниця, вул. Волошкова, 9",Вінницька
Брилінта таб. п/о 90мг №56 (14х4) бліст.,2,"Ф-106 м. Вінниця, пр-т. Коцюбинського,35",Вінницька
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Ф-78. Вінниця, вул. Липовецька, 6А",Вінницька
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"177 Кривий Ріг, вул.Магістральна 12",Дніпропетровська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"198 Запоріжжя, вул.Північнокільцева 15",Запоріжська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Одеська обл., м.Біляївка, вул.Леніна, 138-А",Одеська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м.Одеса, Дніпропетровська дорога, 125, корп.3, кв.4 	Аптека №1",Одеська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м.Одеса, вул. Балковська, 130",Одеська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Одеська обл., Миколаївський р-н, с. Андрієво - Іванівка, вул.Леніна,58 а",Одеська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"А-9 м. Тернопіль, вул. Злуки, 4а 0c56f010-26a7-11eb-97e3-0cc47aff6138",Тернопільська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"№31 м.Львів, вул.Широка, 87, ТЦ ВАМ 924d0714-55ad-11e3-b03b-9c8e992e54ac",Львівська
Пульмікорт турбухалер пор. д/інг.200мкг 100доз,1,"А-27 м.Львів,вул.Героїв УПА,76",Львівська
Крестор таб. в/о 40мг №28 (7х4) бліст.,1,"А-17 м. Львів, вул.Стрийська,76а, кв.2",Львівська
Крестор таб. в/о 20мг №28 (14х2) бліст.,2,"м.Київ вул.Амосова,4  Аптека № 22",
Пульмікорт турбухалер пор. д/інг.200мкг 100доз,1,"м.Київ, вул.Малишка Андрія, 1,  Аптека №1",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"м.Київ, вул. Кибальчича,11 В",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",20,"02660, вул.Магнітогорська, 1, м.Київ",
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"м.Київ, вул.Білицька, 72г, Аптека №1",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Київ, вул.Білицька, 72г, Аптека №1",
Крестор таб. в/о 20мг №28 (14х2) бліст.,1,"м.Київ вул. Корольова ,8  Аптека № 24",
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1,"м.Київ пр-т Маяковського,26  Аптека № 7",
Брилінта таб. п/о 90мг №56 (14х4) бліст.,5,"02660, вул.Магнітогорська, 1, м.Київ",
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Аптека №12 ""Медея""  Київська обл., Броварський р-н, с.Требухів, вул.Броварська, 23-А 1411,12",Київська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Аптека №12 ""Медея""  Київська обл., Броварський р-н, с.Требухів, вул.Броварська, 23-А 1411,12",Київська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Аптека №11 ""Медея""  Київська обл., Броварський р-н, с.Пухівка, вул.Центральна, 116, прим.1а 1412,11",Київська
Форксіга таб. в/о 10мг №30 (10х3) бліст.,1," м.Яготин вул.Незалежності,58  Аптека № 20",Київська
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",1,"смт Баришівка, вул. Київський шлях, 126",Київська
Брилінта таб. п/о 90мг №56 (14х4) бліст.,2,"Київська обл., м.Бориспіль, вул.Шевченка, 4, Аптека ""Бориспільська центральна аптека №24""",Київська
Золадекс капс. 3.6мг шприц-аплікатор №1,2,"Київська обл., м.Бориспіль, вул.Шевченка, 4, Аптека ""Бориспільська центральна аптека №24""",Київська
